epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.3649,0.72075,0.46695,1,0.74219,8.335e-05,8.335e-05,8.335e-05
2,79.9475,0.68853,0.53736,1,0.69922,0.000178927,0.000178927,0.000178927
3,100.346,0.65947,0.68247,1,0.61816,0.000256599,0.000256599,0.000256599
4,102.04,0.62783,0.71839,1,0.56299,0.000305177,0.000305177,0.000305177
5,121.928,0.60018,0.71695,1,0.54297,0.000318079,0.000318079,0.000318079
6,139.707,0.57559,0.7773,1,0.4895,0.000294642,0.000294642,0.000294642
7,157.599,0.54177,0.79023,1,0.4585,0.000240606,0.000240606,0.000240606
8,159.292,0.51231,0.80029,1,0.43774,0.000167703,0.000167703,0.000167703
9,178.928,0.50532,0.79885,1,0.43213,9.23591e-05,9.23591e-05,9.23591e-05
10,194.091,0.4808,0.79741,1,0.42676,3.36633e-05,3.36633e-05,3.36633e-05
